review_id,product_id,aspect,opinion,phrase,sentiment
129858,619,display,no digital,no digital display,neutral
130247,619,purchase,thus,thus purchase,neutral
130247,619,product,th,th product,neutral
130247,619,wash cycle,perfect,perfect wash cycle,positive
130247,619,sound,low,low sound,negative
130247,619,chance,less,less chance,neutral
130247,619,jerking tub,strong,strong jerking tub,positive
130247,619,shock,electric,electric shock,neutral
130247,619,machine,best,best machine,positive
130247,619,motor,best,best motor,positive
180052,972,product,nice,nice product,positive
166949,850,product,good,good product,positive
167047,850,product,low,low product,negative
167047,850,price,high,high price,neutral
8434,116,done,successfully,successfully done,positive
8160,116,product,good,good product,positive
8111,116,value,good,good value,positive
8111,116,service,excellent,excellent service,positive
8111,116,product,excellent,excellent product,positive
168686,877,product,good,good product,positive
154078,775,fabric,good,good fabric,positive
152701,775,chosen,flipkart,flipkart chosen,positive
152701,775,sizes,good,good sizes,positive
152701,775,product,right,right product,positive
154284,775,product,nice,nice product,positive
154284,775,qualitythanks,flipcart,flipcart qualitythanks,positive
152510,773,vasool,nice,nice vasool,positive
152510,773,paisa,full,full paisa,neutral
152510,773,design,nice,nice design,positive
5125,111,quality,bad,bad quality,negative
123318,596,product,good,good product,positive
192776,1021,number,sufficient,sufficient number,neutral
192776,1021,value,good,good value,positive
192776,1021,day,next,next day,neutral
192940,1021,product,good,good product,positive
192940,1021,demo,also,also demo,negative
192940,1021,day,next,next day,neutral
12115,141,product,nice,nice product,positive
12413,143,routine,daily,daily routine,neutral
12413,143,utensils,cleanhygienic,cleanhygienic utensils,neutral
13070,148,modes,multiple,multiple modes,neutral
23770,223,quality,good,good quality,positive
95185,521,charger,good,good charger,positive
167435,855,quality,not good,not good quality,negative
134700,628,product,good,good product,positive
133256,624,service,good,good service,positive
133256,624,thanks,flipkart,flipkart thanks,neutral
137228,652,noise,much,much noise,negative
137228,652,sleep,cant,cant sleep,negative
137228,652,baby,cant,cant baby,neutral
165780,842,quality,good,good quality,positive
165714,841,experience,pathetic,pathetic experience,negative
30854,253,diaper,nice,nice diaper,positive
155375,782,product,good,good product,positive
156063,782,cushion,nice,nice cushion,positive
156849,782,product,nyc,nyc product,neutral
145653,715,product,outstanding,outstanding product,positive
69238,446,products,good,good products,positive
68836,445,product,nice,nice product,positive
133579,625,water,bhubaneswar,bhubaneswar water,neutral
133579,625,tds,checked,checked tds,negative
133579,625,usage,proper,proper usage,neutral
133579,625,tds,standard,standard tds,neutral
133579,625,tds,yet,yet tds,neutral
133579,625,odisha,bhubaneswar,bhubaneswar odisha,neutral
133579,625,tolerance,standard,standard tolerance,neutral
133579,625,tolerance,still,still tolerance,neutral
133579,625,product,nice,nice product,positive
133579,625,installation,fast,fast installation,neutral
133790,625,tank,full,full tank,positive
133790,625,ro,awesome,awesome ro,positive
190283,1002,watch,nice,nice watch,positive
172879,908,superb,awesome,awesome superb,positive
173866,912,product,nice,nice product,positive
28424,249,purchase,terrific,terrific purchase,positive
29347,249,product,good,good product,positive
67067,434,productquality,nice,nice productquality,positive
67067,434,price,large,large price,neutral
66928,434,kajal texture,black,black kajal texture,neutral
67112,434,lakme,no1,no1 lakme,negative
64412,434,cap,loose,loose cap,negative
63550,434,blackworth,deep,deep blackworth,neutral
66611,434,kajal,nice,nice kajal,positive
66749,434,quality,good,good quality,positive
66749,434,prdct,super,super prdct,positive
63168,434,product,bad,bad product,negative
65553,434,product,good,good product,positive
63405,434,use,regular,regular use,neutral
65763,434,time,fav,fav time,neutral
65763,434,product,fav,fav product,neutral
84667,497,onevalue,nice,nice onevalue,neutral
84667,497,delivery,fastest,fastest delivery,positive
84667,497,delivery,ever,ever delivery,positive
84667,497,money,fastest,fastest money,positive
78070,480,product,type,type product,neutral
78070,480,usage,normal,normal usage,neutral
78070,480,battery,total,total battery,negative
78070,480,battery,back,back battery,neutral
343,102,product,good,good product,positive
343,102,draw,back,back draw,neutral
737,102,colety,poor,poor colety,negative
109,102,air,low,low air,negative
180235,974,water,warm,warm water,neutral
180235,974,time,longer,longer time,neutral
180235,974,water,cold,cold water,neutral
180235,974,water,thermal,thermal water,neutral
180508,974,choce,best,best choce,positive
180592,974,product,good,good product,positive
129156,617,demo,good,good demo,neutral
119564,586,base,good,good base,positive
119564,586,exlent,extraordinary,extraordinary exlent,positive
119564,586,quality,good,good quality,positive
68064,443,bat,splendid,splendid bat,positive
78738,482,product,good,good product,positive
78649,482,laptop,nice,nice laptop,positive
97788,533,product,good,good product,positive
97583,533,chamber,good,good chamber,positive
97583,533,good chamber light,not available,not available good chamber light,neutral
97583,533,specifications,technical,technical specifications,neutral
97583,533,looks,pretty,pretty looks,neutral
98884,533,product,beautiful,beautiful product,positive
99193,534,product,worst,worst product,negative
129607,618,installation,good,good installation,positive
129569,618,product,good,good product,positive
129569,618,product,nicely,nicely product,positive
106983,558,product,bad,bad product,negative
150809,769,product,nice,nice product,positive
150700,769,quality,bad,bad quality,negative
112812,578,products,nice,nice products,positive
112670,578,product,good,good product,positive
112399,578,product,good,good product,positive
75402,469,product,worst,worst product,negative
77261,472,broke,sole,sole broke,negative
77261,472,shoe,sole,sole shoe,neutral
51624,394,pents,comfortable,comfortable pents,neutral
51739,394,pant,nice,nice pant,positive
50301,394,quality,also,also quality,positive
50301,394,costand,high,high costand,neutral
51882,394,quality,low,low quality,neutral
51882,394,chain,low,low chain,negative
51882,394,product,bad,bad product,negative
51882,394,quality,isnt,isnt quality,neutral
51102,394,product,good,good product,positive
51277,394,product,bad,bad product,negative
50818,394,product,nice,nice product,positive
51729,394,cheap,old,old cheap,negative
47725,357,product,good,good product,positive
47725,357,price,low,low price,negative
47090,356,product,nice,nice product,positive
47119,356,thanks,awesome,awesome thanks,positive
47189,356,hard cost,little,little hard cost,neutral
47189,356,compare,high,high compare,neutral
46792,356,product,good,good product,positive
46338,355,product,good,good product,positive
46338,355,items,soft,soft items,neutral
46362,355,product,nice,nice product,positive
55846,400,product,nice,nice product,positive
55366,400,product,nice,nice product,positive
55366,400,nice product,happy,happy nice product,positive
55246,400,quality,bad,bad quality,negative
55796,400,nice,super,super nice,positive
55435,400,product,great,great product,positive
55363,400,product,good,good product,positive
54491,399,product,nice,nice product,positive
76241,470,order,happy,happy order,positive
76241,470,bit,little,little bit,neutral
76241,470,condition,good,good condition,positive
76241,470,packaging,not good,not good packaging,negative
76241,470,deals,great,great deals,positive
76241,470,clogs,liberty,liberty clogs,negative
76359,470,product,nice,nice product,positive
76920,470,products,amazing,amazing products,positive
187617,999,quality,super,super quality,positive
187554,999,yaar,awesome,awesome yaar,positive
187554,999,yaar,really,really yaar,neutral
187554,999,quality,good,good quality,positive
186449,999,product,nice,nice product,positive
186461,999,product,good,good product,positive
186193,999,fitting,perfect,perfect fitting,positive
186193,999,fabric,good,good fabric,positive
186193,999,quality,best,best quality,positive
186889,999,quality,good,good quality,positive
187773,1000,fit,nice,nice fit,positive
151582,771,product,nice,nice product,positive
151689,771,material,good,good material,positive
48909,369,size,bad,bad size,negative
49013,383,perfect stitching colour,gorzeous,gorzeous perfect stitching colour,positive
49013,383,dust,quickly,quickly dust,negative
